O25_RANDOM_POOL_BASE — PLAYABLE PICKS GLOBAL
==========================================
Format TSV:
date	match_id	bet_family	time	league	home	away	odd	fixture_id	pipeline	source

# ------------------------------------------------------------------
# APPEND O25_RANDOM_POOL_BASE | 2026-04-18 14:59:59 | run_date=ALL | source=predictions.tsv
# ------------------------------------------------------------------
TSV: 2026-04-19	3088733775	O25_FT	12:15	ekstraklasa	Nieciecza	Wisla Plock	1.8	1380644	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	111163483	O25_FT	12:30	serie a italia	Cremonese	Torino	2.15	1378184	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1060091114	O25_FT	13:00	czech first league	Sigma Olomouc	Slovácko	2	1384888	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	647859912	O25_FT	13:00	championship	Ipswich	Middlesbrough	1.8	1387057	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1394064738	O25_FT	13:30	russian premier league	Dinamo Makhachkala	Zenit	2.43	1400223	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	533332874	O25_FT	13:30	super lig	Kasımpaşa	Alanyaspor	2.1	1394699	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	919434495	O25_FT	13:30	2. bundesliga	FC Schalke 04	Preußen Münster	1.85	1388882	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	375494120	O25_FT	13:30	pro league	Gent	St. Truiden	1.67	1536984	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2972521144	O25_FT	13:30	2. bundesliga	Eintracht Braunschweig	Hertha BSC	1.62	1388876	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1284888452	O25_FT	13:30	2. bundesliga	SpVgg Greuther Fürth	SV Darmstadt 98	1.53	1388878	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3862961977	O25_FT	14:00	laliga2	FC Andorra	Valladolid	2.2	1396984	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2019721556	O25_FT	14:15	superligaen	Paks	Puskas Academy	1.6	1380351	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1467812909	O25_FT	14:30	austrian bundesliga	TSV Hartberg	Rapid Vienna	2.1	1531243	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3073380878	O25_FT	14:30	ukrainian premier league	Epitsentr Dunayivtsi	Karpaty	2	1391597	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	403146971	O25_FT	14:30	austrian bundesliga	Austria Vienna	Red Bull Salzburg	1.67	1531242	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2331009004	O25_FT	14:45	ekstraklasa	Raków Częstochowa	Cracovia Krakow	2.1	1380643	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2072352728	O25_FT	15:00	liga portugal 2	Vizela	Farense	2.05	1398238	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1533764647	O25_FT	15:00	serie a italia	Hellas Verona	AC Milan	2	1378193	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3051277753	O25_FT	15:00	premier league	Aston Villa	Sunderland	1.93	1379289	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1770748945	O25_FT	15:00	premier league	Everton	Liverpool	1.85	1379293	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3893437015	O25_FT	15:00	serie b	Carrarese	Pescara	1.83	1419937	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3345955718	O25_FT	15:00	premier league	Nottingham Forest	Burnley	1.75	1379297	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	9062616	O25_FT	15:00	ligue 1	Monaco	Auxerre	1.7	1387964	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1063348223	O25_FT	15:00	schweizer cup	Yverdon Sport	FC ST. Gallen	1.57	1518994	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2629628156	O25_FT	15:00	scottish cup	Celtic	ST Mirren	1.5	1530942	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3463651049	O25_FT	15:30	czech first league	Hradec Králové	Slavia Praha	1.85	1384884	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	899342162	O25_FT	15:30	bundesliga	SC Freiburg	1. FC Heidenheim	1.62	1388573	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2885429875	O25_FT	16:00	serie a brazil	Internacional	Mirassol	2.1	1492225	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3230274259	O25_FT	16:00	russian premier league	Spartak Moscow	Akhmat	1.8	1400229	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3654349804	O25_FT	16:00	pro league	Dender	Cercle Brugge	1.75	1536970	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1955721999	O25_FT	16:00	super lig	Samsunspor	Beşiktaş	1.7	1394701	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	19203325	O25_FT	16:00	superliga serbia	TSC Backa Topola	Napredak	1.63	1540300	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3266965835	O25_FT	16:15	laliga2	Sporting Gijon	Cadiz	1.9	1392152	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3434469873	O25_FT	16:30	liga portugal	Arouca	Estrela	1.85	1396498	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	771245290	O25_FT	17:00	super league greece	AEK Athens FC	PAOK	2.1	1537123	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3877366083	O25_FT	17:00	austrian bundesliga	Lask Linz	Sturm Graz	1.7	1531244	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	4080768946	O25_FT	17:15	liga i romania	Petrolul Ploiesti	AFC Hermannstadt	2.5	1531526	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	955573670	O25_FT	17:15	ligue 1	Nantes	Stade Brestois 29	2.1	1387965	O25_RANDOM_POOL_BASE	predictions.tsv
