# date | league | home vs away | reason
2025-11-30 | primera división chile | Union La Calera vs Deportes Limache | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | pro league | Club Brugge KV vs Antwerp | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | pro league | Genk vs OH Leuven | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | pro league | Anderlecht vs Union St. Gilloise | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | pro league | Gent vs St. Truiden | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | russian premier league | FC Krasnodar vs Krylia Sovetov | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | russian premier league | Akhmat vs Dynamo | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | russian premier league | FC Rostov vs Lokomotiv | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | russian premier league | Zenit vs Rubin | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a brazil | Ceara vs Cruzeiro | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a brazil | Corinthians vs Botafogo | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a brazil | Fortaleza EC vs Atletico-MG | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a italia | Lecce vs Torino | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a italia | Pisa vs Inter | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a italia | Atalanta vs Fiorentina | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie a italia | AS Roma vs Napoli | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie b | Juve Stabia vs Monza | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | serie b | Spezia vs Sampdoria | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league greece | Atromitos vs Asteras Tripolis | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league greece | Panetolikos vs Olympiakos Piraeus | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league greece | Levadiakos vs PAOK | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league greece | Panathinaikos vs AEK Athens FC | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league switzerland | Servette FC vs BSC Young Boys | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league switzerland | FC Basel 1893 vs FC ST. Gallen | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super league switzerland | Lausanne vs FC Thun | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super lig | Antalyaspor vs Göztepe | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | super lig | Fatih Karagümrük vs Beşiktaş | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | superliga serbia | TSC Backa Topola vs Radnik Surdulica | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | superliga serbia | OFK Beograd vs FK Crvena Zvezda | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | superligaen | Kisvarda FC vs Ujpest | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | superligaen | Puskas Academy vs Ferencvarosi TC | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ukrainian premier league | Oleksandria vs Ruh Lviv | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ukrainian premier league | Epitsentr Dunayivtsi vs Metalist 1925 Kharkiv | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ukrainian premier league | Polessya vs Zorya Luhansk | FIXTURE_NOT_FOUND_ROBUST
