# league	bet_key	samples	success	fail	base_rate	matches	ht_matches	avg_ft_goals	avg_ht_goals	goals_0	goals_1	goals_2	goals_3	goals_4_plus	rate_o05_ft	rate_o15_ft	rate_o25_ft	rate_o35_ft	rate_exact_2	rate_exact_3	home_scored_rate	away_scored_rate	btts_rate	home_win_rate	draw_rate	away_win_rate	rate_ht05	rate_ht15	rate_ht_home_lead	rate_ht_draw	rate_ht_away_lead	rate_ht1x_home	goals_score	composite_score
premier league	TEAM1_WIN_FT	194	75	119	0.386598	194	194	2.721649	1.231959	16	28	45	48	57	0.917526	0.773196	0.541237	0.293814	0.231959	0.247423	0.742268	0.752577	0.577320	0.386598	0.273196	0.340206	0.711340	0.345361	0.335052	0.386598	0.278351	0.721649	0.485309	0.416211
k league 1	TEAM2_WIN_FT	18	7	11	0.388889	18	18	2.388889	1.055556	1	5	5	3	4	0.944444	0.666667	0.388889	0.222222	0.277778	0.166667	0.722222	0.722222	0.500000	0.333333	0.277778	0.388889	0.722222	0.277778	0.333333	0.388889	0.277778	0.722222	0.477778	0.415556
belgian cup	O25_FT	8	3	5	0.375000	8	8	2.250000	1.500000	1	2	2	1	2	0.875000	0.625000	0.375000	0.250000	0.250000	0.125000	0.500000	0.625000	0.250000	0.500000	0.125000	0.375000	0.875000	0.625000	0.250000	0.375000	0.375000	0.625000	0.500000	0.412500
club friendly games	TEAM1_WIN_FT	16	6	10	0.375000	16	16	3.250000	1.500000	3	1	4	0	8	0.812500	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.687500	0.625000	0.375000	0.375000	0.250000	0.687500	0.375000	0.250000	0.375000	0.375000	0.625000	0.493750	0.410625
allsvenskan	TEAM2_WIN_FT	10	4	6	0.400000	10	10	3.400000	1.600000	1	0	1	4	4	0.900000	0.900000	0.800000	0.400000	0.100000	0.400000	0.700000	0.700000	0.500000	0.400000	0.200000	0.400000	0.800000	0.600000	0.400000	0.200000	0.400000	0.600000	0.435000	0.410500
league cup	TEAM1_WIN_FT	5	2	3	0.400000	5	5	2.800000	0.800000	0	1	2	0	2	1.000000	0.800000	0.400000	0.400000	0.400000	0.000000	0.600000	0.800000	0.400000	0.400000	0.000000	0.600000	0.400000	0.200000	0.200000	0.600000	0.200000	0.800000	0.420000	0.406000
primera división peru	TEAM2_WIN_FT	15	6	9	0.400000	15	15	2.466667	1.000000	1	5	1	5	3	0.933333	0.600000	0.533333	0.200000	0.066667	0.333333	0.666667	0.666667	0.400000	0.533333	0.066667	0.400000	0.666667	0.333333	0.400000	0.333333	0.266667	0.733333	0.410000	0.403000
hnl croatia	TEAM1_WIN_FT	25	9	16	0.360000	25	25	2.760000	1.320000	2	4	5	5	9	0.920000	0.760000	0.560000	0.360000	0.200000	0.200000	0.840000	0.760000	0.680000	0.360000	0.360000	0.280000	0.760000	0.440000	0.240000	0.440000	0.320000	0.680000	0.502000	0.402600
cymru premier league	TEAM2_WIN_FT	91	34	57	0.373626	91	91	2.648352	1.197802	9	14	24	18	26	0.901099	0.747253	0.483516	0.285714	0.263736	0.197802	0.659341	0.725275	0.483516	0.351648	0.274725	0.373626	0.692308	0.318681	0.285714	0.384615	0.329670	0.670330	0.460989	0.399835
belgian cup	TEAM2_WIN_FT	8	3	5	0.375000	8	8	2.250000	1.500000	1	2	2	1	2	0.875000	0.625000	0.375000	0.250000	0.250000	0.125000	0.500000	0.625000	0.250000	0.500000	0.125000	0.375000	0.875000	0.625000	0.250000	0.375000	0.375000	0.625000	0.450000	0.397500
primera división paraguay	O25_FT	94	33	61	0.351064	94	94	2.148936	0.957447	14	23	24	16	17	0.851064	0.606383	0.351064	0.180851	0.255319	0.170213	0.627660	0.606383	0.382979	0.414894	0.297872	0.287234	0.563830	0.255319	0.223404	0.553191	0.223404	0.776596	0.500000	0.395745
j1 league	O25_FT	20	7	13	0.350000	20	20	2.050000	0.750000	2	7	4	2	5	0.900000	0.550000	0.350000	0.250000	0.200000	0.100000	0.700000	0.550000	0.350000	0.500000	0.200000	0.300000	0.550000	0.200000	0.300000	0.550000	0.150000	0.850000	0.500000	0.395000
liga pro ecuador	O25_FT	107	36	71	0.336449	107	107	2.009346	0.841121	15	26	30	21	15	0.859813	0.616822	0.336449	0.140187	0.280374	0.196262	0.691589	0.588785	0.420561	0.448598	0.308411	0.242991	0.588785	0.205607	0.308411	0.495327	0.196262	0.803738	0.500000	0.385514
russian premier league	O25_FT	45	15	30	0.333333	45	45	2.133333	0.955556	4	11	15	9	6	0.911111	0.666667	0.333333	0.133333	0.333333	0.200000	0.800000	0.600000	0.488889	0.466667	0.311111	0.222222	0.622222	0.266667	0.266667	0.511111	0.222222	0.777778	0.500000	0.383333
conmebol libertadores	O25_FT	3	1	2	0.333333	3	3	1.666667	1.000000	0	2	0	1	0	1.000000	0.333333	0.333333	0.000000	0.000000	0.333333	0.666667	0.333333	0.000000	0.666667	0.000000	0.333333	0.333333	0.333333	0.333333	0.666667	0.000000	1.000000	0.500000	0.383333
cymru premier league	TEAM1_WIN_FT	91	32	59	0.351648	91	91	2.648352	1.197802	9	14	24	18	26	0.901099	0.747253	0.483516	0.285714	0.263736	0.197802	0.659341	0.725275	0.483516	0.351648	0.274725	0.373626	0.692308	0.318681	0.285714	0.384615	0.329670	0.670330	0.445604	0.379835
copa del rey	TEAM1_WIN_FT	17	6	11	0.352941	17	17	3.235294	1.705882	0	3	3	4	7	1.000000	0.823529	0.647059	0.411765	0.176471	0.235294	0.705882	0.764706	0.470588	0.352941	0.117647	0.529412	0.647059	0.529412	0.176471	0.529412	0.294118	0.705882	0.432353	0.376765
superligaen	TEAM2_WIN_FT	95	33	62	0.347368	95	95	2.842105	1.126316	4	15	22	25	29	0.957895	0.800000	0.568421	0.305263	0.231579	0.263158	0.789474	0.747368	0.578947	0.421053	0.231579	0.347368	0.673684	0.315789	0.252632	0.442105	0.305263	0.694737	0.440526	0.375316
liga profesional argentina	O25_FT	215	69	146	0.320930	215	215	1.911628	0.874419	39	57	50	41	28	0.818605	0.553488	0.320930	0.130233	0.232558	0.190698	0.660465	0.558140	0.400000	0.400000	0.325581	0.274419	0.595349	0.209302	0.302326	0.465116	0.232558	0.767442	0.500000	0.374651
pro league	TEAM1_WIN_FT	148	51	97	0.344595	148	148	2.648649	1.155405	14	23	38	36	37	0.905405	0.750000	0.493243	0.250000	0.256757	0.243243	0.736486	0.709459	0.540541	0.344595	0.250000	0.405405	0.662162	0.324324	0.277027	0.445946	0.277027	0.722973	0.444595	0.374595
